deathrate,rank,date,date2display,dateorder,countyname,Repub_share,color
5.0110242533573865,1,2020-03-15,"03-15
2020",0,"Davison, SD",0.6639460610361959,#e43027
1.6742485157566611,2,2020-03-15,"03-15
2020",0,"King, WA",0.2223588959006432,#fcc4ad
1.264638187014695,3,2020-03-15,"03-15
2020",0,"Chelan, WA",0.5252389969057405,#f96044
0.5908594050045791,4,2020-03-15,"03-15
2020",0,"Wyandotte, KS",0.3334331249449678,#fca082
0.5319148936170213,5,2020-03-15,"03-15
2020",0,"Santa rosa, FL",0.7237112823582224,#d21f20
0.5208374023755394,6,2020-03-15,"03-15
2020",0,"Orleans, LA",0.1499502302903514,#fed9c9
0.3623376576319784,7,2020-03-15,"03-15
2020",0,"Snohomish, WA",0.3792833116072161,#fc9070
0.2955702880923598,8,2020-03-15,"03-15
2020",0,"Rockland, NY",0.4834556516339567,#fb7050
0.2738244374619213,9,2020-03-15,"03-15
2020",0,"El paso, CO",0.5353767048259078,#f75c41
0.2628735762109928,10,2020-03-15,"03-15
2020",0,"Lee, FL",0.5921492565353047,#f24734
16.886187098953055,1,2020-03-22,"03-22
2020",1,"Crowley, CO",0.7262857142857143,#d21f20
11.228385358185491,2,2020-03-22,"03-22
2020",1,"Catahoula, LA",0.7289007822149033,#d11e1f
6.429627724554749,3,2020-03-22,"03-22
2020",1,"Pawnee, OK",0.6470674918950781,#e93529
5.0110242533573865,4,2020-03-22,"03-22
2020",1,"Davison, SD",0.6639460610361959,#e43027
4.952456418383518,5,2020-03-22,"03-22
2020",1,"St. james, LA",0.4729150119142176,#fb7252
4.937783922575548,6,2020-03-22,"03-22
2020",1,"Bourbon, KY",0.6419164160530955,#ea362a
4.192520543350662,7,2020-03-22,"03-22
2020",1,"Anderson, KY",0.729380664652568,#d11e1f
4.101049868766404,8,2020-03-22,"03-22
2020",1,"Scott, IN",0.721058325956526,#d32020
3.9062805178165454,9,2020-03-22,"03-22
2020",1,"Orleans, LA",0.1499502302903514,#fed9c9
3.621482634990765,10,2020-03-22,"03-22
2020",1,"Jennings, IN",0.774630642396539,#c3161b
56.88282138794085,1,2020-03-29,"03-29
2020",2,"Oldham, TX",0.908820614469772,#940b13
23.2910213112845,2,2020-03-29,"03-29
2020",2,"Wilkinson, MS",0.3208141507148049,#fca486
19.010565186707183,3,2020-03-29,"03-29
2020",2,"Orleans, LA",0.1499502302903514,#fed9c9
16.886187098953055,4,2020-03-29,"03-29
2020",2,"Crowley, CO",0.7262857142857143,#d21f20
16.294606485253382,5,2020-03-29,"03-29
2020",2,"Iron, WI",0.6079800498753117,#f14130
14.857369255150555,6,2020-03-29,"03-29
2020",2,"St. james, LA",0.4729150119142176,#fb7252
13.166556945358789,7,2020-03-29,"03-29
2020",2,"Franklin, IN",0.8075833333333333,#b91419
11.77107611177814,8,2020-03-29,"03-29
2020",2,"St. john the baptist, LA",0.3517170586039567,#fc997a
11.522064754003916,9,2020-03-29,"03-29
2020",2,"Pitkin, CO",0.2324997909174542,#fcc1a8
11.228385358185491,10,2020-03-29,"03-29
2020",2,"Catahoula, LA",0.7289007822149033,#d11e1f
60.350030175015085,1,2020-04-05,"04-05
2020",3,"Toole, MT",0.7531854648419065,#ca181d
56.88282138794085,2,2020-04-05,"04-05
2020",3,"Oldham, TX",0.908820614469772,#940b13
56.50116533653507,3,2020-04-05,"04-05
2020",3,"St. john the baptist, LA",0.3517170586039567,#fc997a
41.92741089123092,4,2020-04-05,"04-05
2020",3,"Orleans, LA",0.1499502302903514,#fed9c9
34.93653196692675,5,2020-04-05,"04-05
2020",3,"Wilkinson, MS",0.3208141507148049,#fca486
29.71473851030111,6,2020-04-05,"04-05
2020",3,"St. james, LA",0.4729150119142176,#fb7252
28.37135524805592,7,2020-04-05,"04-05
2020",3,"Nassau, NY",0.4424833653633888,#fb7c5c
26.333113890717577,8,2020-04-05,"04-05
2020",3,"Franklin, IN",0.8075833333333333,#b91419
25.736240302952314,9,2020-04-05,"04-05
2020",3,"West baton rouge, LA",0.5450805135844506,#f7593f
25.636313724956384,10,2020-04-05,"04-05
2020",3,"Jefferson, LA",0.5468815328312677,#f6583e
89.46017844951385,1,2020-04-12,"04-12
2020",4,"St. john the baptist, LA",0.3517170586039567,#fc997a
73.79418157953938,2,2020-04-12,"04-12
2020",4,"Nassau, NY",0.4424833653633888,#fb7c5c
72.846476051721,3,2020-04-12,"04-12
2020",4,"Greer, OK",0.622909275215408,#ef3c2c
61.19839477912588,4,2020-04-12,"04-12
2020",4,"Orleans, LA",0.1499502302903514,#fed9c9
60.350030175015085,5,2020-04-12,"04-12
2020",4,"Toole, MT",0.7531854648419065,#ca181d
56.88282138794085,6,2020-04-12,"04-12
2020",4,"Oldham, TX",0.908820614469772,#940b13
55.95062805077768,7,2020-04-12,"04-12
2020",4,"Westchester, NY",0.3130520372513601,#fca689
49.55263694125929,8,2020-04-12,"04-12
2020",4,"Essex, NJ",0.2185710851956642,#fdc5ae
49.52456418383518,9,2020-04-12,"04-12
2020",4,"St. james, LA",0.4729150119142176,#fb7252
49.064667823331725,10,2020-04-12,"04-12
2020",4,"Rockland, NY",0.4834556516339567,#fb7050
124.77340678484828,1,2020-04-19,"04-19
2020",5,"St. john the baptist, LA",0.3517170586039567,#fc997a
